id,tissue,red,yellow,green,blue,black,magenta,teal,white
1,0.608248710632324,0,0,0.390243530273438,0,0,0,0,0
2,0.975924491882324,0,0,0,0,0,0,0,0
3,0.96519660949707,0,0,0,0,0,0,0,0
4,0.906268119812012,0,0,0.0612554550170898,0,0,0,0,0
5,0.901039123535156,0,0,0,0,0,0,0,0
6,0.999973297119141,0,0,0,0,0,0,0,0
7,0.978379249572754,0,0,0.0182723999023438,0,0,0,0,0
8,0.99989128112793,0,0,0,0,0,0,0,0
9,0.999961853027344,0,0,0,0,0,0,0,0
10,0.999887466430664,0,0,0,0,0,0,0,0
11,0.999992370605469,0,0,0,0,0,0,0,0
12,0.999997138977051,0,0,0,0,0,0,0,0
13,0.999995231628418,0,0,0,0,0,0,0,0
14,0.966348648071289,0,0,0.0259532928466797,0,0,0,0,0
15,0.949798583984375,0,0,0.050201416015625,0,0,0,0,0
16,0.969854354858398,0,0,0.0301361083984375,0,0,0,0,0
17,0.999984741210938,0,0,0,0,0,0,0,0
18,0.999932289123535,0,0,0,0,0,0,0,0
19,0.697089195251465,0,0,0.206029891967773,0,0,0,0,0
20,0.981060981750488,0,0,0,0,0,0,0,0
21,0.885771751403809,0,0,0.114228248596191,0,0,0,0,0
22,0.873207092285156,0,0,0.126792907714844,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0
24,0.999998092651367,0,0,0,0,0,0,0,0
25,0.99986457824707,0,0,0,0,0,0,0,0
26,0.941241264343262,0.019291877746582,0,0.0394668579101563,0,0,0,0,0
27,0.760780334472656,0.238365173339844,0,0,0,0,0,0,0
28,0.922940254211426,0,0,0.0639543533325195,0,0,0,0,0
29,0.999678611755371,0,0,0,0,0,0,0,0
30,1,0,0,0,0,0,0,0,0
31,1,0,0,0,0,0,0,0,0
32,1,0,0,0,0,0,0,0,0
33,1,0,0,0,0,0,0,0,0
34,0.957977294921875,0,0,0.0329980850219727,0,0,0,0,0
35,0.953598976135254,0,0,0.0461912155151367,0,0,0,0,0
36,0.894644737243652,0.0333681106567383,0,0,0,0,0,0,0
37,0.903657913208008,0.096278190612793,0,0,0,0,0,0,0
38,0.823648452758789,0,0,0.176228523254395,0,0,0,0,0
39,0.941219329833984,0,0,0.0587806701660156,0,0,0,0,0
40,1,0,0,0,0,0,0,0,0
41,0.999979972839355,0,0,0,0,0,0,0,0
42,0.999974250793457,0,0,0,0,0,0,0,0
43,0.743443489074707,0.239668846130371,0,0.0168046951293945,0,0,0,0,0
44,0.972976684570313,0.0268163681030273,0,0,0,0,0,0,0
45,1,0,0,0,0,0,0,0,0
46,0.999258995056152,0,0,0,0,0,0,0,0
47,0.996644020080566,0,0,0,0,0,0,0,0
48,0.918068885803223,0,0,0,0,0,0,0,0
49,0.991547584533691,0,0,0,0,0,0,0,0
50,0.999054908752441,0,0,0,0,0,0,0,0
51,1,0,0,0,0,0,0,0,0
52,0.930804252624512,0,0,0.0691957473754883,0,0,0,0,0
53,0.869166374206543,0,0,0.126945495605469,0,0,0,0,0
54,0.509469985961914,0.40196704864502,0,0,0,0,0,0,0
55,0.895858764648438,0.103996276855469,0,0,0,0,0,0,0
56,0.979320526123047,0.0204563140869141,0,0,0,0,0,0,0
57,0.984489440917969,0,0,0.0155105590820313,0,0,0,0,0
58,0.910136222839355,0,0,0.0898637771606445,0,0,0,0,0
59,0.928445816040039,0,0,0.0715541839599609,0,0,0,0,0
60,0.774405479431152,0.194986343383789,0,0.0306081771850586,0,0,0,0,0
61,0.889378547668457,0,0,0.110466003417969,0,0,0,0,0
62,0.968532562255859,0,0,0.0314674377441406,0,0,0,0,0
63,0.998858451843262,0,0,0,0,0,0,0,0
64,0.970335006713867,0,0,0,0,0,0,0,0
65,0.934872627258301,0,0,0,0,0,0,0,0
66,1,0,0,0,0,0,0,0,0
67,0.999984741210938,0,0,0,0,0,0,0,0
68,0.99937629699707,0,0,0,0,0,0,0,0
69,0.933119773864746,0,0,0,0,0,0,0,0
70,0.992755889892578,0,0,0.00669574737548828,0,0,0,0,0
