id,tissue,red,yellow,green,blue,black,magenta,teal,white
1,0.989105224609375,0,0,0,0,0,0,0,0
2,0.952559471130371,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0
4,0.999105453491211,0,0,0,0,0,0,0,0
5,0.947205543518066,0,0,0,0,0,0,0,0
6,0.295251846313477,0,0,0.67900276184082,0,0,0,0,0
7,0,0,0,1,0,0,0,0,0
8,0.982335090637207,0,0,0,0,0,0,0,0
9,0.996964454650879,0,0,0.00270557403564453,0,0,0,0,0
10,0.812247276306152,0,0,0.187752723693848,0,0,0,0,0
11,0.948628425598145,0,0,0.0513715744018555,0,0,0,0,0
12,0.0724887847900391,0,0,0.927511215209961,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0
14,0,0,0,0.936679840087891,0,0,0,0,0
15,0.998359680175781,0,0,0,0,0,0,0,0
16,0.999594688415527,0,0,0,0,0,0,0,0
17,0.999680519104004,0,0,0,0,0,0,0,0
18,0.935162544250488,0,0,0.0646657943725586,0,0,0,0,0
19,0.427312850952148,0,0,0.572687149047852,0,0,0,0,0
20,0.211117744445801,0,0,0.788882255554199,0,0,0,0,0
21,0,0,0,1,0,0,0,0,0
22,0,0,0,1,0,0,0,0,0
23,0,0,0,1,0,0,0,0,0
24,0,0,0,1,0,0,0,0,0
25,0.998973846435547,0,0,0,0,0,0,0,0
26,0.999946594238281,0,0,0,0,0,0,0,0
27,0.999898910522461,0,0,0,0,0,0,0,0
28,0.999946594238281,0,0,0,0,0,0,0,0
29,0.677729606628418,0,0,0.322270393371582,0,0,0,0,0
30,0,0,0,1,0,0,0,0,0
31,0,0,0,1,0,0,0,0,0
32,0,0,0,1,0,0,0,0,0
33,0,0,0,1,0,0,0,0,0
34,0,0,0,1,0,0,0,0,0
35,0.0654058456420898,0,0,0.839579582214355,0,0,0,0,0
36,0.0380144119262695,0,0,0.917284965515137,0,0,0,0,0
37,0,0,0,1,0,0,0,0,0
38,0.0515975952148438,0,0,0.877402305603027,0,0,0,0,0
39,0.999724388122559,0,0,0,0,0,0,0,0
40,0.999968528747559,0,0,0,0,0,0,0,0
41,0.725532531738281,0,0,0.274467468261719,0,0,0,0,0
